Time,Session,Type,Speaker,Links
09:00–10:00,Departure from Campus,Transport,Trip Coordinator,Info
10:00–12:30,Guided Tour of Welsh Heritage Site,Visit,Local Guide,Details
12:30–13:30,Lunch in Wales,Lunch,,—
13:30–15:30,Coastal Walk / Cultural Exploration,Activity,Tour Team,—
15:30–16:30,Group Social & Refreshments,Social,Staff,—
16:30–17:30,Return to Campus,Transport,Trip Coordinator,—
