model,country,domain,forecast_horizon,runtime
CrostonSBA,Lao,Family Planning,3,10
CrostonSBA,Lao,Family Planning,6,11.4
CrostonSBA,Pakistan,Family Planning,1,10.2
CrostonSBA,Pakistan,Family Planning,3,10
CrostonSBA,Pakistan,Family Planning,6,10.2
Chronos-bolt-small,Côte d'Ivoire,Family Planning,1,1327.8
Chronos-bolt-small,Côte d'Ivoire,Family Planning,3,449.1
Chronos-bolt-small,Côte d'Ivoire,Family Planning,6,226.3
Chronos-bolt-small,Lao,Family Planning,1,1068.3
Chronos-bolt-small,Lao,Family Planning,3,387.7
Chronos-bolt-small,Lao,Family Planning,6,184.3
Chronos-bolt-small,Pakistan,Family Planning,1,1974.6
Chronos-bolt-small,Pakistan,Family Planning,3,912.6
Chronos-bolt-small,Pakistan,Family Planning,6,484.1
Chronos-bolt-base,Côte d'Ivoire,Family Planning,1,5644.6
Chronos-bolt-base,Côte d'Ivoire,Family Planning,3,3623.5
Chronos-bolt-base,Côte d'Ivoire,Family Planning,6,1754.7
Chronos-bolt-base,Lao,Family Planning,1,2658.4
Chronos-bolt-base,Lao,Family Planning,3,868
Chronos-bolt-base,Lao,Family Planning,6,412.9
Chronos-bolt-base,Pakistan,Family Planning,1,3491.9
Chronos-bolt-base,Pakistan,Family Planning,3,1168.3
Chronos-bolt-base,Pakistan,Family Planning,6,577.3
Chronos-t5-mini,Côte d'Ivoire,Family Planning,1,30017.4
Chronos-t5-mini,Côte d'Ivoire,Family Planning,3,16668.2
Chronos-t5-mini,Côte d'Ivoire,Family Planning,6,9822.6
Chronos-t5-mini,Lao,Family Planning,1,14242.4
Chronos-t5-mini,Lao,Family Planning,3,5962
Chronos-t5-mini,Lao,Family Planning,6,7361.2
Chronos-t5-mini,Pakistan,Family Planning,1,30819.4
Chronos-t5-mini,Pakistan,Family Planning,3,17149.3
Chronos-t5-mini,Pakistan,Family Planning,6,6970
TimesFM-1.0-200m,Côte d'Ivoire,Family Planning,1,3677.2
TimesFM-1.0-200m,Côte d'Ivoire,Family Planning,3,1302.5
TimesFM-1.0-200m,Côte d'Ivoire,Family Planning,6,667.5
TimesFM-1.0-200m,Lao,Family Planning,1,5618.8
TimesFM-1.0-200m,Lao,Family Planning,3,1615.5
TimesFM-1.0-200m,Lao,Family Planning,6,734.6
TimesFM-1.0-200m,Pakistan,Family Planning,1,2497
TimesFM-1.0-200m,Pakistan,Family Planning,3,484.8
TimesFM-1.0-200m,Pakistan,Family Planning,6,242
Moirai-1.0-R-small,Côte d'Ivoire,Family Planning,1,14173.9
Moirai-1.0-R-small,Côte d'Ivoire,Family Planning,3,5648.6
Moirai-1.0-R-small,Côte d'Ivoire,Family Planning,6,2835.9
Moirai-1.0-R-small,Lao,Family Planning,1,14926.4
Moirai-1.0-R-small,Lao,Family Planning,3,2728.7
Moirai-1.0-R-small,Lao,Family Planning,6,1334.4
Moirai-1.0-R-small,Pakistan,Family Planning,1,7312.5
Moirai-1.0-R-small,Pakistan,Family Planning,3,2427
Moirai-1.0-R-small,Pakistan,Family Planning,6,1254.2
Moirai-2.0-R-small,Côte d'Ivoire,Family Planning,1,5109.4
Moirai-2.0-R-small,Côte d'Ivoire,Family Planning,3,1718.6
Moirai-2.0-R-small,Côte d'Ivoire,Family Planning,6,854.4
Moirai-2.0-R-small,Lao,Family Planning,1,2563.9
Moirai-2.0-R-small,Lao,Family Planning,3,884.8
Moirai-2.0-R-small,Lao,Family Planning,6,402.3
Moirai-2.0-R-small,Pakistan,Family Planning,1,2215.7
Moirai-2.0-R-small,Pakistan,Family Planning,3,796.9
Moirai-2.0-R-small,Pakistan,Family Planning,6,359.8
TiRex,Côte d'Ivoire,Family Planning,1,14085.5
TiRex,Côte d'Ivoire,Family Planning,3,4859.9
TiRex,Côte d'Ivoire,Family Planning,6,1258.5
TiRex,Lao,Family Planning,1,11482.1
TiRex,Lao,Family Planning,3,2432.3
TiRex,Lao,Family Planning,6,1211.5
TiRex,Pakistan,Family Planning,1,8032.3
TiRex,Pakistan,Family Planning,3,5090
TiRex,Pakistan,Family Planning,6,2507.9
FlowState,Côte d'Ivoire,Family Planning,1,337.7
FlowState,Côte d'Ivoire,Family Planning,3,110.7
FlowState,Côte d'Ivoire,Family Planning,6,48.4
FlowState,Lao,Family Planning,1,293.6
FlowState,Lao,Family Planning,3,97.2
FlowState,Lao,Family Planning,6,49.1
FlowState,Pakistan,Family Planning,1,548.4
FlowState,Pakistan,Family Planning,3,175.5
FlowState,Pakistan,Family Planning,6,84.5
FlowState-R1,Côte d'Ivoire,Family Planning,1,343.2
FlowState-R1,Côte d'Ivoire,Family Planning,3,105.2
FlowState-R1,Côte d'Ivoire,Family Planning,6,74.1
FlowState-R1,Lao,Family Planning,1,645.5
FlowState-R1,Lao,Family Planning,3,206.3
FlowState-R1,Lao,Family Planning,6,112
FlowState-R1,Pakistan,Family Planning,1,1190.9
FlowState-R1,Pakistan,Family Planning,3,386.3
FlowState-R1,Pakistan,Family Planning,6,183
Chronos-t5-small,Côte d'Ivoire,Family Planning,1,45436.2
Chronos-t5-small,Côte d'Ivoire,Family Planning,3,10459.6
Chronos-t5-small,Côte d'Ivoire,Family Planning,6,6701
Chronos-t5-small,Lao,Family Planning,1,31115.7
Chronos-t5-small,Lao,Family Planning,3,14053.6
Chronos-t5-small,Lao,Family Planning,6,11244.2
Chronos-t5-small,Pakistan,Family Planning,1,171283.3
Chronos-t5-small,Pakistan,Family Planning,3,187532
Chronos-t5-small,Pakistan,Family Planning,6,136986.7
Chronos-2,Côte d'Ivoire,Family Planning,1,111.9
Chronos-2,Côte d'Ivoire,Family Planning,3,262.8
Chronos-2,Côte d'Ivoire,Family Planning,6,21.6
Chronos-2,Lao,Family Planning,1,109.2
Chronos-2,Lao,Family Planning,3,39.1
Chronos-2,Lao,Family Planning,6,18.4
Chronos-2,Pakistan,Family Planning,1,275.4
Chronos-2,Pakistan,Family Planning,3,42.4
Chronos-2,Pakistan,Family Planning,6,21.4
Chronos-2-small,Côte d'Ivoire,Family Planning,1,72.9
Chronos-2-small,Côte d'Ivoire,Family Planning,3,24.5
Chronos-2-small,Côte d'Ivoire,Family Planning,6,12.5
Chronos-2-small,Lao,Family Planning,1,73.1
Chronos-2-small,Lao,Family Planning,3,24.7
Chronos-2-small,Lao,Family Planning,6,12.7
Chronos-2-small,Pakistan,Family Planning,1,455.6
Chronos-2-small,Pakistan,Family Planning,3,25.3
Chronos-2-small,Pakistan,Family Planning,6,12.9
Chronos-2-synth,Côte d'Ivoire,Family Planning,1,113
Chronos-2-synth,Côte d'Ivoire,Family Planning,3,37.6
Chronos-2-synth,Côte d'Ivoire,Family Planning,6,17.9
Chronos-2-synth,Lao,Family Planning,1,110.2
Chronos-2-synth,Lao,Family Planning,3,36.6
Chronos-2-synth,Lao,Family Planning,6,18.4
Chronos-2-synth,Pakistan,Family Planning,1,131.5
Chronos-2-synth,Pakistan,Family Planning,3,43.5
Chronos-2-synth,Pakistan,Family Planning,6,22.2
Chronos-2-FT,Côte d'Ivoire,Family Planning,1,825.0333333
Chronos-2-FT,Côte d'Ivoire,Family Planning,3,1000.033333
Chronos-2-FT,Côte d'Ivoire,Family Planning,6,634.7333333
Chronos-2-FT,Lao,Family Planning,1,2949.333333
Chronos-2-FT,Lao,Family Planning,3,1343.233333
Chronos-2-FT,Lao,Family Planning,6,1307.433333
Chronos-2-FT,Pakistan,Family Planning,1,4736.3
Chronos-2-FT,Pakistan,Family Planning,3,1747.6
Chronos-2-FT,Pakistan,Family Planning,6,1707
Chronos-2-FT-Full,Côte d'Ivoire,Family Planning,1,941.2666667
Chronos-2-FT-Full,Côte d'Ivoire,Family Planning,3,619.3666667
Chronos-2-FT-Full,Côte d'Ivoire,Family Planning,6,537.7666667
Chronos-2-FT-Full,Lao,Family Planning,1,939.3666667
Chronos-2-FT-Full,Lao,Family Planning,3,621.9666667
Chronos-2-FT-Full,Lao,Family Planning,6,539.8666667
Chronos-2-FT-Full,Pakistan,Family Planning,1,932.3666667
Chronos-2-FT-Full,Pakistan,Family Planning,3,619.6666667
Chronos-2-FT-Full,Pakistan,Family Planning,6,539.8666667
Chronos-2-FT-LoRA,Côte d'Ivoire,Family Planning,1,761.4
Chronos-2-FT-LoRA,Côte d'Ivoire,Family Planning,3,515.2
Chronos-2-FT-LoRA,Côte d'Ivoire,Family Planning,6,451.7
Chronos-2-FT-LoRA,Lao,Family Planning,1,601.5
Chronos-2-FT-LoRA,Lao,Family Planning,3,356.5
Chronos-2-FT-LoRA,Lao,Family Planning,6,292.9
Chronos-2-FT-LoRA,Pakistan,Family Planning,1,783.3333333
Chronos-2-FT-LoRA,Pakistan,Family Planning,3,470.3333333
Chronos-2-FT-LoRA,Pakistan,Family Planning,6,390.4333333
Chronos-2-FT-LoRA-Full,Côte d'Ivoire,Family Planning,1,755.3333333
